id,clean_text,sentiment
k5ZOshC2LP4_4,if youre savory youre vegetable fruit tomato tomahto make mind,0
267252_18,so stutter would give the happening two five,0
7mb8Y2AhXIY_10,for example youre community site thats moms someone saying dont buy baby food product diaper thats disaster brand,0
G38DwNDQ8Cc_20,the people however continued lose jobs houses anyway still deep recession,0
SZRxuS6fn9s_2,first people id like first address,0
eTn2P4wmFr4_11,hat delay uncertainty negative indeed would tariffs britain britain worlds original trading nation,0
243981_4,and like umm well meet spartans cheap knock,0
112223_2,uhh each four chapters disc,0
Jz1oMq6l-ZM_10,doctors arent fully informed true risks drug,0
25640_7,mean stutter people elements really umm dont know special features would say know dont go get,0
234046_11,this movie didnt,0
63951_7,recommend go see awful,0
Es9MkKsMsjU_7,really hate people say act like political beliefs like dumbest superficial thing stop friends someone,0
238060_17,umm its scary sick youre going nightmares watch,0
273250_24,the premise barely,0
sRMdbZVjhis_1,he played key role darkest episodes balkan european history,0
ipLoS44xfO4_3,the salesman debater terms communicator,0
266396_45,night shyamalan take break,0
270628_24,it kind depressing parts didnt rebound give highs positive notes movie like,0
94481_6,its stutter inspirational change life,0
233939_4,im giving one five,0
271366_5,they probably even shouldnt made second one honest,0
266938_33,its terrible film,0
106514_10,like used least interesting director stutter like know evil dead trilogy,0
46495_9,it time get end movie felt like waste time watched,0
46604_8,uhh really didnt care much wouldnt wanted see anyway uhh movie real stinker,0
cS3BDGNDu_8_10,are nothing constantly talking hands point extreme distraction,0
210238_10,found movie absolutely dumb,0
264418_15,but yeah uhh,0
267466_21,its little bit ridiculous extremist religious thing beginning scandal falling love girl,0
107551_4,there stutter theres lot stuff doesnt make sense lot stuff seems stutter sake story like wouldnt happen otherwise,0
o8OZGBDPD8M_8,secondly witness met jesus and believed obeyed seen,0
Wrcf2xtqbkQ_2,and want ask series broader questions massacre srebrenica happen,0
244836_8,umm twenty minutes felt like knew going happen like every every stutter part movie,0
273237_14,and funny anything like american pie series animal house know revenge nerds like trailer,0
273237_12,not went straight dvd shouldnt made shouldnt even thought okay really bad,0
243646_11,like like stutter saying know dont know,0
80627_10,its xxx stupid film,0
216007_9,umm they sigh hard explain youre douglas adams fan,0
3HRnhUin-5g_1,government judges north korea conducted nuclear test yesterday,0
88888_10,but like kind dumbed action movies,0
NVlxq3jxlAk_9,theyre raising premiums greed risk pool getting larger,0
uacdDoBtT1k_0,in developed economies youth unemployment rate decline next years current this decline mainly related fact increasingly young people dropping labour market find difficult find job,0
nZEPf7a8GbI_3,one problems peoples skills tend atrophy work long,0
qDfSYz0PX9g_8,es probably person said something incorrect,0
39lcRCFvV-s_11,so moved august driving truck three days straight noticed driving night headlights tail lights cars getting little bit blurry,0
227426_14,uhh definite one five stars,0
270254_18,stutter no,0
bpvYdXVlgvc_6,theyre going give thing floor time know donald trump going divest corporations,0
QWll4lS1qqI_14,really awkward somebody feels youre telling feel envy,0
271366_21,everything special effects tell fake theyre trying put much action stutter cgi special effects like movie plot completely lost theyre trying throw make,0
sfaWfZ2-4c0_2,now passed legislative budget fund salaries refused fulfill greatest duty passing peoples budget funds classrooms teachers health care programs job creation efforts efforts keep prisoners safely locked away,0
94215_10,but overall story know campy cliche horror parody,0
fWAKek8jA5M_9,the states mean theyre rejecting medicare expansion obamacare,0
271594_39,so mike saying hey good dont see,0
28006_21,its director blade told first place cause blade sucked sucks,0
u9ZV8jb_-U0_0,james meny so lets say since people going sing correctly working,0
STeqtJLakQQ_2,one other comment want to make it is no surprise that lot of millennials young voters are disillusioned by the election process,0
270254_23,wait rent youre really desperate buy want,0
3ocpWAmSNUE_8,that many fake christians believe safe secure way heaven scared death comforted devil,0
206051_7,you know think trying emulate willie wonka chocolate factory really didnt make sense,0
247318_10,give two five stars,0
IB0lGIxP8YY_1,there escape party system parties compete among represent principle social justice principles people choose democratically,0
266938_6,and,0
HgDdU_RB9UA_3,that headline could easily read university mourns son distinguished professors university mourns special worker instead headline points simple fact,0
273531_13,it wasnt really scary predictable umm poor acting,0
252912_9,honestly cant even tell watched movie way,0
262226_12,all right theres like reason see,0
31tcuDMQ_H8_15,if everyone believes stock market gonna crash likely already bottom people already acted beliefs already sold selling going lot buying typically means market bottom,0
Jz1oMq6l-ZM_2,what instructed company sell drug childrens hospitals specifically use pediatric patients something fda approved,0
266938_10,night shyamalan know know hasnt made movie since lady in water god forbid movie,0
224370_15,umm theres scene mix actual real life cannon firing video filmed video awkward watch,0
56989_6,uhh it didnt go anywhere long time,0
282560_18,but kind weak uhh mean top violence,0
Yi6Qyn4X8is_7,and thing want say generation dumbest generation ever seen,0
18QjfdhJEM4_9,that doesnt seem case majority legislators unfortunately,0
243981_10,like umm xxx really offensive wasnt funny like stutter like pretty go extreme time,0
badtXoOJaf8_6,and end,0
3j94B0pzSVs_7,during recent difficult times president knowledge law strong allegiance ethical legal principals affecting profession necessary,0
276217_2,its little month,0
220134_27,umm wouldnt recommend buying unless youre severe masochist come final umm final set stutter james bond uhh complete dvd collection youll probably end anyway youre completist like,0
236442_2,umm im big tom hanks fan really wasnt impressed movie,0
88888_9,its little extreme taste,0
89835_4,umm clears throat the acting one really acting much one person fights beats crap others umm star movie makes loudmouth uhh offcolor remarks entire thing,0
223431_8,the bad part theres one predator kind sucks,0
266938_23,theyre running away wind carrying well theres actually real stutter explanation really think trees trying poison makes part brain chemical part brain shut umm kill,0
154449_5,this movie pretty bad,0
zsRTbbKlsEg_10,when totally messes communication opens kinds issues,0
18QjfdhJEM4_11,the end result mammoth bills myriads unrelated provisions favor best lobbyists expense everyone else,0
266396_56,umm it bad absolutely terrible,0
lkeVfgI0eEk_8,think youre allowing kids die prayers going save thats abuse,0
JcmqmLaL_MQ_7,and know regards hiv dont become inaudible around world bringing hiv prevention living hiv,0
270628_33,im going give one five stars,0
255343_11,its good sequel,0
OxyQSJMvWBo_12,he quiet shy could barely hear spoke wasnt often,0
271366_6,and uhh theres cant really say one good thing movie,0
127470_4,umm second one wasnt great either,0
266791_34,im gonna give one one five stars,0
wC_1M7KIv9s_19,ore importantly book explores roles relationships change dual worlds,0
LDKWr94J0wM_2,as surgeon general opportunity launch national patient national prevention strategy months ago,0
aE7sckIAWuw_1,you see barrage negative news story feeds us lie behavior doesnt matter,0
252912_7,uhh its awesome,0
256174_14,like elephant stepping pants,0
aFjMWlR1QAY_4,before divorce dad everyday us,0
256935_24,but everyone else really think giant miss movie great director im even sure say hes great anymore movie,0
106514_8,uhh the direction sam raimi stutter dont understand,0
92496_3,umm it feels like half movie shouldve cut would kinda short film uhh probably wouldve easy sit,0
63951_9,and ridiculous,0
273237_17,and story line terrible comedy funny get heads,0
266396_26,and think thats wasnt,0
43371_8,umm so dont know enjoy,0
QoIsjc4-GIg_6,ends little pay,0
BaX10vbFhuU_8,again youre thinking might villain might bad guy might pompous everyone play might think youre exactly things villain villain,0
252912_2,uhh highly advise stay far away uhh movie,0
rwe-hBNpzH8_2,as president hes leader,0
xvnFF0FiyS4_9,but doesnt negate pride using scooter questioning worth human,0
omBcvw7izuM_15,we hold night labor women children abnormal prohibited,0
248837_13,save last dance one five stars,0
262165_3,this terrible movie,0
267466_36,im gonna give one five rating,0
46495_6,umm care movie,0
pwj9YeMJC08_5,there many different creams lotions potions use yeast infection,0
jjbOD6u7V34_7,and said is way spend night guys appears massacre happen and says were seven,0
IawsOlEKRf0_25,the one thing definitely want dont leave shower,0
jscKL5jS-SQ_5,and obeying him cannot possibly pleasing him,0
92521_5,umm the action fighting good suppose uhh everything else terrible,0
256935_19,cough dont know mean rent movie fast forward boring parts think would miss hour half movie,0
U4-u5NZLA_w_7,this video might sufficient problems might encounter,0
Bg-PA5KTjNs_2,so talked doctor said well probably genetics nothing that certainly didnt make feel better,0
273250_21,there many better ones,0
o2bNnLOEEC0_0,dont hate,0
94481_4,umm the stutter battles theyre perfect,0
v5AAvrZuR2U_1,with jerry pennas recent retirement took western pennsylvania,0
qY1sXq-YCHs_8,if refuse breath test also two years,0
243341_5,dont go see,0
nsLACXjD4KU_3,studies show anyone victim microaggression lead immediate distress worry anger confusion,0
224263_4,uhh the acting mediocre,0
6qPjYvdZiLA_7,did want persuade something take action change viewpoint,0
267466_8,it long,0
CdB8QBhFccs_4,however youre gonna shove something back face dont know dont know,0
267694_17,uhh just completely ignore like movie,0
92331_11,its extremely sigh hard turn away,0
bpvYdXVlgvc_5,that republicans wont let go forward,0
lTfsqoo-jKg_3,see blood wrists,0
3B1zIUj-k3o_4,see lot people going around false front pretend so busy cell phones busy talk,0
oGnKsroR0R0_17,id hate leave world visited every continent great,0
208322_4,uhh not stutter really lot interesting things uhh seemed occur uhh show,0
189966_13,understand basis movie eight millimeter film basis could done different way,0
2S00zYaVrtc_13,it unthinkable believe would ever try rewrite erase history,0
18QjfdhJEM4_10,in order ram one special interests favorable treatment giveaway certain amount horsetrading done,0
282586_18,drink blood kind stupid,0
233939_7,there saving grace film,0
kqXpf26EL-s_4,dont want show event attendee show us event speaker,0
245276_2,its like dont watch,0
ySfHPyaDbqY_3,if put place survivor think would want would want respect concerns confidentiality valuefree response gone clear effort provide supports services might want,0
107551_5,mean understand movies suspend know disbelief sake story stutter nothing hold kind truth reality kind becomes nothing know waste time,0
243341_2,somebody kill keeps making movies seriously,0
88791_6,this really boring,0
iPPp6MCythU_11,almost afraid ask good bad things furnace brand,0
gLTxaEcx41E_11,and thats end im asking well referent the man need lamentations diseases gave pain moment escorted away,0
kU6YY2z7z0I_8,we manage complicated medical interventions,0
88245_1,and basically umm two husband wife storys umm losing job go live parents works dad,0
29044_1,now brad pitt movie brad pitt robert redford umm watched movie thought boring,0
267694_13,uhh its like one stupid comedies like dont really laugh much stutter laugh parts soon ends youre like wasted like ninety minutes life like like stutter ten dollars,0
266396_19,and wish could could stutter talk longer,0
194625_6,umm fan,0
268836_14,and really love movies stutter though know movies werent bad people made seem know werent like fantastic movie terrible,0
254298_9,aww wait youre sort trapped sticks im gonna kill dont kill,0
128258_9,uhh the action sequences thought didnt even hold,0
S9PDgK7fpJI_1,we need water need supplies,0
267694_11,uhh not good movie said,0
271598_26,but fails boring cant hold anyones attention child adult,0
273314_1,it movie made steve martins novella stutter wrote girl torn two lovers cant really decide one rich old man young man,0
S9PDgK7fpJI_7,rather helping american citizens wondering hell arent paying debts,0
46615_7,uhh so pretty poor dvd,0
hCFV5VLgS0A_10,youre young blind,0
rCQYq4T8SEI_16,ou see dear love free heart nobody could hurt,0
